Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787943252,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943253,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943254,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943255,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943256,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943257,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943258,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943259,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943260,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943261,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943262,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943263,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943264,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943265,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
